CADENA;COD;DESCRIPCION;MARCA;COD LOCAL;DESCRIPCION LOCAL;FORMATO;VTA;STOCK;DESCRIPCION LOCAL2
CENCOSUD.xlsx;108881;MEZCLA GOURMET POULTRY SEASO.5.5OZ BADIA;BADIA;T121;Wong Tom s Marsano;WONG;1;12;Wong Tomas Marsano
CENCOSUD.xlsx;35177;PIMIENTA NEGRA MOLIDA X 0.5 ONZ BADIA;BADIA;S035;Supermercado Metro San Felipe;METRO;24;2;METRO SAN FELIPE
CENCOSUD.xlsx;521616010;CONDIMENTOS ORGANICOS BADIA FCO  COMINO;BADIA;T121;Wong Tom s Marsano;WONG;7;16;Wong Tomas Marsano
CENCOSUD.xlsx;1016321;VINAGRE BALS MICO GLAZE COLAVITA 250ML;COLAVITA;T102;Wong Ovalo Gutierrez;WONG;9;10;WONG OVALO GUTIERREZ
CENCOSUD.xlsx;1016322;SALSA DE TOMATE PASSATA COLAVITA 680G;COLAVITA;H014;Hipermercado Metro Plaza Norte;METRO;13;-2;METRO PLAZA NORTE
CENCOSUD.xlsx;37783;SAZONADOR PIMIENTA Y LIMON X 184 GR;BADIA;S049;Supermercado Metro Plaza la Lu;METRO;1;14;METRO PLAZA LA LU
CENCOSUD.xlsx;37783;SAZONADOR PIMIENTA Y LIMON X 184 GR;BADIA;T107;Wong San Borja;WONG;16;5;WONG SAN BORJA
CENCOSUD.xlsx;946343;SAZ. HARLEM GARLIC PEPPER X170G BADIA;BADIA;T108;Wong La Molina;WONG;4;7;WONG LA MOLINA
CENCOSUD.xlsx;4930;CANELA EN POLVO X 2 OZ. BADIA;BADIA;S047;Supermercado Metro Chaclacayo;METRO;8;9;METRO CHACLACAYO
CENCOSUD.xlsx;324768;PIMIENTA NEGRA ENTERA C/MOL BADIA 2.25G;BADIA;H013;Hipermercado Metro Independenc;METRO;7;11;METRO INDEPENDENC
CENCOSUD.xlsx;1015451;FIDEO SEMOLA FUSILLI 500G COLAVITA;COLAVITA;T101;Wong Dos de Mayo;WONG;9;30;WONG DOS DE MAYO
CENCOSUD.xlsx;993051;SALPIMIENTA CULANTRO Y LIM N BADIA 8OZ;BADIA;T121;Wong Tom s Marsano;WONG;3;11;Wong Tomas Marsano
CENCOSUD.xlsx;720262;MEZCLA PIMIENTOS X2 OZ. MOLINILLO BADIA;BADIA;T132;Wong KM40;WONG;4;22;WONG KM40
CENCOSUD.xlsx;993052;AJO NEGRO Y SAL ROSADA BADIA 9OZ;BADIA;T121;Wong Tom s Marsano;WONG;1;3;Wong Tomas Marsano
CENCOSUD.xlsx;1013267;PIMIENTA NEGRA MOLIDA 4OZ BADIA;BADIA;S032;Supermercado Metro Faucett;METRO;1;10;METRO FAUCETT
CENCOSUD.xlsx;35232;AZAFRAN ESPA OL X 0.141 ONZ BADIA;BADIA;T104;Wong Benavides;WONG;11;25;WONG BENAVIDES
CENCOSUD.xlsx;35172;CLAVO ENTERO X 0.25 ONZ BADIA;BADIA;T114;Wong La Planicie;WONG;34;3;WONG LA PLANICIE
CENCOSUD.xlsx;4931;COMINO MOLIDO X 2 OZ. BADIA;BADIA;S037;Supermercado Metro Balta - Chi;METRO;16;8;METRO BALTA   CHI
CENCOSUD.xlsx;979217;BEBIDA DE COCO BADIA X400ML;BADIA;T104;Wong Benavides;WONG;28;12;WONG BENAVIDES
CENCOSUD.xlsx;35230;COMINO MOLIDO X 1 ONZ   BADIA;BADIA;H016;Hipermercado Metro Ovalo Papal;METRO;18;44;METRO OVALO PAPAL
CENCOSUD.xlsx;422772004;MERMELADA X 340GR M STRAWBERRY PRESERVE;MACKAYS;T114;Wong La Planicie;WONG;7;5;WONG LA PLANICIE
CENCOSUD.xlsx;1013266;PIMENTON ESPA OL PAPRIKA AHUMA 3.75OZ;BADIA;S028;Supermercado Metro Proceres;METRO;1;4;METRO PROCERES
